acidity,sulfur_dioxide,density,pH,alcohol,color,quality
7.4,34,0.9978,3.51,9.4,red,5
7.8,67,0.9968,3.2,9.8,red,5
7.8,54,0.997,3.26,9.8,red,5
11.2,60,0.998,3.16,9.8,red,6
7.4,34,0.9978,3.51,9.4,red,5
7.4,40,0.9978,3.51,9.4,red,5
7.9,59,0.9964,3.3,9.4,red,5
7.3,21,0.9946,3.39,10,red,7
7.8,18,0.9968,3.36,9.5,red,7
7.5,102,0.9978,3.35,10.5,red,5
6.7,65,0.9959,3.28,9.2,red,5
7.5,102,0.9978,3.35,10.5,red,5
5.6,59,0.9943,3.58,9.9,red,5
7.8,29,0.9974,3.26,9.1,red,5
8.9,145,0.9986,3.16,9.2,red,5
8.9,148,0.9986,3.17,9.2,red,5
8.5,103,0.9969,3.3,10.5,red,7
8.1,56,0.9968,3.11,9.3,red,5
7.4,29,0.9974,3.38,9,red,4
7.9,56,0.9969,3.04,9.2,red,6
8.9,60,0.9968,3.39,9.4,red,6
7.6,71,0.9982,3.52,9.7,red,5
7.9,37,0.9966,3.17,9.5,red,5
8.5,67,0.9968,3.17,9.4,red,5
6.9,40,0.9968,3.43,9.7,red,6
6.3,23,0.9955,3.34,9.3,red,5
7.6,11,0.9962,3.28,9.5,red,5
7.9,37,0.9966,3.17,9.5,red,5
7.1,35,0.9972,3.47,9.4,red,5
7.8,16,0.9964,3.38,9.8,red,6
6.7,82,0.9958,3.35,10.1,red,5
6.9,37,0.9966,3.46,10.6,red,6
8.3,113,0.9966,3.17,9.8,red,5
6.9,83,0.9993,3.45,9.4,red,6
5.2,50,0.9957,3.38,9.2,red,5
7.8,18,0.9986,3.4,9.6,red,6
7.8,15,0.9975,3.42,10.8,red,6
8.1,30,0.9968,3.23,9.7,red,7
5.7,19,0.994,3.5,9.8,red,4
7.3,87,0.9978,3.33,10.5,red,5
7.3,87,0.9978,3.33,10.5,red,5
8.8,46,0.9976,3.26,9.3,red,4
